Subject,Condition,ListNum,Block,Direction,Jol
46,B,20,1,F,96
46,B,21,1,B,100
46,B,22,1,B,15
46,B,23,1,B,100
46,B,24,1,B,100
46,B,25,1,B,10
46,B,26,1,B,90
46,B,27,1,B,0
46,B,28,1,B,100
46,B,29,1,B,10
46,B,30,1,B,100
46,B,31,1,B,100
46,B,32,1,B,100
46,B,33,1,B,100
46,B,34,1,B,100
46,B,35,1,B,90
46,B,36,1,B,100
46,B,37,1,B,100
46,B,38,1,B,95
46,B,39,1,B,10
46,B,40,1,B,25
46,B,41,1,S,100
46,B,42,1,S,0
46,B,43,1,S,100
46,B,44,1,S,100
46,B,45,1,S,100
46,B,46,1,S,100
46,B,47,1,S,95
46,B,48,1,S,100
46,B,49,1,S,100
46,B,50,1,S,100
46,B,51,1,S,100
46,B,52,1,S,100
46,B,53,1,S,100
46,B,54,1,S,50
46,B,55,1,S,0
46,B,56,1,S,100
46,B,57,1,S,100
46,B,58,1,S,0
46,B,59,1,S,30
46,B,60,1,S,100
46,B,61,1,U,0
46,B,62,1,U,100
46,B,63,1,U,0
46,B,64,1,U,34
46,B,65,1,U,10
46,B,66,1,U,10
46,B,67,1,U,0
46,B,68,1,U,0
46,B,69,1,U,0
46,B,70,1,U,10
46,B,71,1,U,0
46,B,72,1,U,15
46,B,73,1,U,0
46,B,74,1,U,10
46,B,75,1,U,10
46,B,76,1,U,0
46,B,77,1,U,10
46,B,78,1,U,0
46,B,79,1,U,15
46,B,80,1,U,0
50,B,1,1,F,47
50,B,2,1,F,90
50,B,3,1,F,100
50,B,4,1,F,100
50,B,5,1,F,89
50,B,6,1,F,34
50,B,7,1,F,90
50,B,8,1,F,75
50,B,9,1,F,95
50,B,10,1,F,66
50,B,11,1,F,70
50,B,12,1,F,57
50,B,13,1,F,97
50,B,14,1,F,75
50,B,15,1,F,90
50,B,16,1,F,94
50,B,17,1,F,65
50,B,18,1,F,90
50,B,19,1,F,95
50,B,20,1,F,95
50,B,21,1,B,43
50,B,22,1,B,93
50,B,23,1,B,68
50,B,24,1,B,79
50,B,25,1,B,99
50,B,26,1,B,78
50,B,27,1,B,89
50,B,28,1,B,75
50,B,29,1,B,9
50,B,30,1,B,79
50,B,31,1,B,100
50,B,32,1,B,83
50,B,33,1,B,93
50,B,34,1,B,100
50,B,35,1,B,85
50,B,36,1,B,67
50,B,37,1,B,100
50,B,38,1,B,88
50,B,39,1,B,100
50,B,40,1,B,75
50,B,41,1,S,87
50,B,42,1,S,96
50,B,43,1,S,0
50,B,44,1,S,99
50,B,45,1,S,89
50,B,46,1,S,90
50,B,47,1,S,80
50,B,48,1,S,70
50,B,49,1,S,69
50,B,50,1,S,85
50,B,51,1,S,25
50,B,52,1,S,79
50,B,53,1,S,77
50,B,54,1,S,16
50,B,55,1,S,89
50,B,56,1,S,55
50,B,57,1,S,76
50,B,58,1,S,76
50,B,59,1,S,4
50,B,60,1,S,98
50,B,61,1,U,20
50,B,62,1,U,65
50,B,63,1,U,35
50,B,64,1,U,65
50,B,65,1,U,13
50,B,66,1,U,68
50,B,67,1,U,45
50,B,68,1,U,45
50,B,69,1,U,10
50,B,70,1,U,54
50,B,71,1,U,35
50,B,72,1,U,43
50,B,73,1,U,28
50,B,74,1,U,15
50,B,75,1,U,80
50,B,76,1,U,35
50,B,77,1,U,48
50,B,78,1,U,20
50,B,79,1,U,20
50,B,80,1,U,88
54,B,1,1,F,20
54,B,2,1,F,20
54,B,3,1,F,60
54,B,4,1,F,100
54,B,5,1,F,55
54,B,6,1,F,0
54,B,7,1,F,80
54,B,8,1,F,100
54,B,9,1,F,100
54,B,10,1,F,100
54,B,11,1,F,100
54,B,12,1,F,75
54,B,13,1,F,24
54,B,14,1,F,100
54,B,15,1,F,25
54,B,16,1,F,90
54,B,17,1,F,19
54,B,18,1,F,2
54,B,19,1,F,80
54,B,20,1,F,100
54,B,21,1,B,75
54,B,22,1,B,70
54,B,23,1,B,25
54,B,24,1,B,30
54,B,25,1,B,75
54,B,26,1,B,0
54,B,27,1,B,25
54,B,28,1,B,80
54,B,29,1,B,75
54,B,30,1,B,25
54,B,31,1,B,80
54,B,32,1,B,25
54,B,33,1,B,100
54,B,34,1,B,100
54,B,35,1,B,75
54,B,36,1,B,100
54,B,37,1,B,26
54,B,38,1,B,100
54,B,39,1,B,100
54,B,40,1,B,10
54,B,41,1,S,75
54,B,42,1,S,75
54,B,43,1,S,10
54,B,44,1,S,80
54,B,45,1,S,70
54,B,46,1,S,75
54,B,47,1,S,75
54,B,48,1,S,100
54,B,49,1,S,100
54,B,50,1,S,100
54,B,51,1,S,75
54,B,52,1,S,90
54,B,53,1,S,75
54,B,54,1,S,90
54,B,55,1,S,0
54,B,56,1,S,100
54,B,57,1,S,75
54,B,58,1,S,60
54,B,59,1,S,75
54,B,60,1,S,100
54,B,61,1,U,0
54,B,62,1,U,30
54,B,63,1,U,27
54,B,64,1,U,25
54,B,65,1,U,20
54,B,66,1,U,10
54,B,67,1,U,25
54,B,68,1,U,29
54,B,69,1,U,30
54,B,70,1,U,0
54,B,71,1,U,70
54,B,72,1,U,25
54,B,73,1,U,45
54,B,74,1,U,25
54,B,75,1,U,60
54,B,76,1,U,1
54,B,77,1,U,30
54,B,78,1,U,50
54,B,79,1,U,1
54,B,80,1,U,25
58,B,1,1,F,30
58,B,2,1,F,50
58,B,3,1,F,100
58,B,4,1,F,100
58,B,5,1,F,100
58,B,6,1,F,100
58,B,7,1,F,100
58,B,8,1,F,100
58,B,9,1,F,100
58,B,10,1,F,50
58,B,11,1,F,100
58,B,12,1,F,100
58,B,13,1,F,100
58,B,14,1,F,100
58,B,15,1,F,100
58,B,16,1,F,100
58,B,17,1,F,100
58,B,18,1,F,100
58,B,19,1,F,100
58,B,20,1,F,100
58,B,21,1,B,20
58,B,22,1,B,100
58,B,23,1,B,100
58,B,24,1,B,100
58,B,25,1,B,50
58,B,26,1,B,60
58,B,27,1,B,20
58,B,28,1,B,100
58,B,29,1,B,100
58,B,30,1,B,75
58,B,31,1,B,100
58,B,32,1,B,100
58,B,33,1,B,100
58,B,34,1,B,100
58,B,35,1,B,100
58,B,36,1,B,100
58,B,37,1,B,100
58,B,38,1,B,100
58,B,39,1,B,100
58,B,40,1,B,100
58,B,41,1,S,100
58,B,42,1,S,50
58,B,43,1,S,75
58,B,44,1,S,90
58,B,45,1,S,100
58,B,46,1,S,100
58,B,47,1,S,50
58,B,48,1,S,100
58,B,49,1,S,100
58,B,50,1,S,100
58,B,51,1,S,100
58,B,52,1,S,50
58,B,53,1,S,100
58,B,54,1,S,100
58,B,55,1,S,100
58,B,56,1,S,100
58,B,57,1,S,100
58,B,58,1,S,0
58,B,59,1,S,100
58,B,60,1,S,100
58,B,61,1,U,50
58,B,62,1,U,100
58,B,63,1,U,20
58,B,64,1,U,10
58,B,65,1,U,30
58,B,66,1,U,29
58,B,67,1,U,20
58,B,68,1,U,20
58,B,69,1,U,20
58,B,70,1,U,83
58,B,71,1,U,50
58,B,72,1,U,0
58,B,73,1,U,40
58,B,74,1,U,20
58,B,75,1,U,20
58,B,76,1,U,40
58,B,77,1,U,30
58,B,78,1,U,50
58,B,79,1,U,20
58,B,80,1,U,10
62,B,1,1,F,34
62,B,2,1,F,67
62,B,3,1,F,90
62,B,4,1,F,69
62,B,5,1,F,99
62,B,6,1,F,67
62,B,7,1,F,78
62,B,8,1,F,89
62,B,9,1,F,78
62,B,10,1,F,89
62,B,11,1,F,67
62,B,12,1,F,47
62,B,13,1,F,78
62,B,14,1,F,99
62,B,15,1,F,100
62,B,16,1,F,90
62,B,17,1,F,67
62,B,18,1,F,56
62,B,19,1,F,80
62,B,20,1,F,78
62,B,21,1,B,67
62,B,22,1,B,89
62,B,23,1,B,78
62,B,24,1,B,56
62,B,25,1,B,90
62,B,26,1,B,11
62,B,27,1,B,83
62,B,28,1,B,90
62,B,29,1,B,45
62,B,30,1,B,99
62,B,31,1,B,65
62,B,32,1,B,34
62,B,33,1,B,100
62,B,34,1,B,100
62,B,35,1,B,34
62,B,36,1,B,44
62,B,37,1,B,10
62,B,38,1,B,76
62,B,39,1,B,90
62,B,40,1,B,45
62,B,41,1,S,89
62,B,42,1,S,99
62,B,43,1,S,1
62,B,44,1,S,98
62,B,45,1,S,13
62,B,46,1,S,55
62,B,47,1,S,45
62,B,48,1,S,99
62,B,49,1,S,66
62,B,50,1,S,99
62,B,51,1,S,56
62,B,52,1,S,54
62,B,53,1,S,89
62,B,54,1,S,45
62,B,55,1,S,34
62,B,56,1,S,12
62,B,57,1,S,89
62,B,58,1,S,12
62,B,59,1,S,23
62,B,60,1,S,90
62,B,61,1,U,23
62,B,62,1,U,32
62,B,63,1,U,10
62,B,64,1,U,10
62,B,65,1,U,10
62,B,66,1,U,23
62,B,67,1,U,0
62,B,68,1,U,20
62,B,69,1,U,10
62,B,70,1,U,10
62,B,71,1,U,10
62,B,72,1,U,0
62,B,73,1,U,12
62,B,74,1,U,9
62,B,75,1,U,11
62,B,76,1,U,12
62,B,77,1,U,10
62,B,78,1,U,11
62,B,79,1,U,0
62,B,80,1,U,10
66,B,1,1,F,95
66,B,2,1,F,23
66,B,3,1,F,50
66,B,4,1,F,50
66,B,5,1,F,12
66,B,6,1,F,
66,B,7,1,F,15
66,B,8,1,F,1
66,B,9,1,F,100
66,B,10,1,F,45
66,B,11,1,F,
66,B,12,1,F,23
66,B,13,1,F,
66,B,14,1,F,65
66,B,15,1,F,95
66,B,16,1,F,100
66,B,17,1,F,45
66,B,18,1,F,60
66,B,19,1,F,50
66,B,20,1,F,25
66,B,21,1,B,15
66,B,22,1,B,80
66,B,23,1,B,3
66,B,24,1,B,56
66,B,25,1,B,95
66,B,26,1,B,70
66,B,27,1,B,60
66,B,28,1,B,95
66,B,29,1,B,100
66,B,30,1,B,90
66,B,31,1,B,80
66,B,32,1,B,28
66,B,33,1,B,100
66,B,34,1,B,23
66,B,35,1,B,23
66,B,36,1,B,100
66,B,37,1,B,30
66,B,38,1,B,100
66,B,39,1,B,
66,B,40,1,B,80
66,B,41,1,S,23
66,B,42,1,S,100
66,B,43,1,S,30
66,B,44,1,S,60
66,B,45,1,S,96
66,B,46,1,S,70
66,B,47,1,S,100
66,B,48,1,S,100
66,B,49,1,S,10
66,B,50,1,S,95
66,B,51,1,S,23
66,B,52,1,S,75
66,B,53,1,S,95
66,B,54,1,S,100
66,B,55,1,S,25
66,B,56,1,S,
66,B,57,1,S,90
66,B,58,1,S,5
66,B,59,1,S,100
66,B,60,1,S,90
66,B,61,1,U,
66,B,62,1,U,23
66,B,63,1,U,45
66,B,64,1,U,25
66,B,65,1,U,1
66,B,66,1,U,10
66,B,67,1,U,15
66,B,68,1,U,0
66,B,69,1,U,23
66,B,70,1,U,10
66,B,71,1,U,5
66,B,72,1,U,25
66,B,73,1,U,90
66,B,74,1,U,50
66,B,75,1,U,12
66,B,76,1,U,0
66,B,77,1,U,5
66,B,78,1,U,10
66,B,79,1,U,10
66,B,80,1,U,35
70,B,1,1,F,99
70,B,2,1,F,17
70,B,3,1,F,92
70,B,4,1,F,90
70,B,5,1,F,95
70,B,6,1,F,56
70,B,7,1,F,75
70,B,8,1,F,97
70,B,9,1,F,70
70,B,10,1,F,88
70,B,11,1,F,100
70,B,12,1,F,99
70,B,13,1,F,69
70,B,14,1,F,60
70,B,15,1,F,5
70,B,16,1,F,91
70,B,17,1,F,90
70,B,18,1,F,50
70,B,19,1,F,55
70,B,20,1,F,99
70,B,21,1,B,92
70,B,22,1,B,89
70,B,23,1,B,78
70,B,24,1,B,93
70,B,25,1,B,88
70,B,26,1,B,10
70,B,27,1,B,40
70,B,28,1,B,95
70,B,29,1,B,98
70,B,30,1,B,80
70,B,31,1,B,84
70,B,32,1,B,94
70,B,33,1,B,99
70,B,34,1,B,70
70,B,35,1,B,78
70,B,36,1,B,89
70,B,37,1,B,90
70,B,38,1,B,98
70,B,39,1,B,99
70,B,40,1,B,88
70,B,41,1,S,92
70,B,42,1,S,30
70,B,43,1,S,3
70,B,44,1,S,95
70,B,45,1,S,98
70,B,46,1,S,92
70,B,47,1,S,87
70,B,48,1,S,95
70,B,49,1,S,100
70,B,50,1,S,89
70,B,51,1,S,91
70,B,52,1,S,79
70,B,53,1,S,94
70,B,54,1,S,90
70,B,55,1,S,92
70,B,56,1,S,97
70,B,57,1,S,100
70,B,58,1,S,75
70,B,59,1,S,100
70,B,60,1,S,99
70,B,61,1,U,45
70,B,62,1,U,89
70,B,63,1,U,1
70,B,64,1,U,3
70,B,65,1,U,5
70,B,66,1,U,2
70,B,67,1,U,10
70,B,68,1,U,6
70,B,69,1,U,20
70,B,70,1,U,6
70,B,71,1,U,2
70,B,72,1,U,65
70,B,73,1,U,7
70,B,74,1,U,4
70,B,75,1,U,20
70,B,76,1,U,3
70,B,77,1,U,62
70,B,78,1,U,3
70,B,79,1,U,43
70,B,80,1,U,15
38,B,1,2,F,50
38,B,2,2,F,60
38,B,3,2,F,50
38,B,4,2,F,0
38,B,5,2,F,0
38,B,6,2,F,0
38,B,7,2,F,0
38,B,8,2,F,60
38,B,9,2,F,80
38,B,10,2,F,0
38,B,11,2,F,70
38,B,12,2,F,90
38,B,13,2,F,0
38,B,14,2,F,60
38,B,15,2,F,20
38,B,16,2,F,70
38,B,17,2,F,0
38,B,18,2,F,0
38,B,19,2,F,80
38,B,20,2,F,50
38,B,21,2,B,60
38,B,22,2,B,50
38,B,23,2,B,0
38,B,24,2,B,40
38,B,25,2,B,90
38,B,26,2,B,0
38,B,27,2,B,0
38,B,28,2,B,70
38,B,29,2,B,70
38,B,30,2,B,70
38,B,31,2,B,0
38,B,32,2,B,60
38,B,33,2,B,0
38,B,34,2,B,50
38,B,35,2,B,0
38,B,36,2,B,0
38,B,37,2,B,80
38,B,38,2,B,50
38,B,39,2,B,80
38,B,40,2,B,0
38,B,41,2,S,0
38,B,42,2,S,50
38,B,43,2,S,0
38,B,44,2,S,60
38,B,45,2,S,50
38,B,46,2,S,60
38,B,47,2,S,50
38,B,48,2,S,50
38,B,49,2,S,80
38,B,50,2,S,50
38,B,51,2,S,80
38,B,52,2,S,50
38,B,53,2,S,80
38,B,54,2,S,60
38,B,55,2,S,0
38,B,56,2,S,50
38,B,57,2,S,50
38,B,58,2,S,70
38,B,59,2,S,0
38,B,60,2,S,70
38,B,61,2,U,0
38,B,62,2,U,50
38,B,63,2,U,0
38,B,64,2,U,0
38,B,65,2,U,30
38,B,66,2,U,50
38,B,67,2,U,50
38,B,68,2,U,40
38,B,69,2,U,20
38,B,70,2,U,0
38,B,71,2,U,50
38,B,72,2,U,0
38,B,73,2,U,50
38,B,74,2,U,0
38,B,75,2,U,30
38,B,76,2,U,50
38,B,77,2,U,0
38,B,78,2,U,20
38,B,79,2,U,20
38,B,80,2,U,30
46,B,1,2,F,20
46,B,2,2,F,70
46,B,3,2,F,20
46,B,4,2,F,20
46,B,5,2,F,60
46,B,6,2,F,60
46,B,7,2,F,10
46,B,8,2,F,60
46,B,9,2,F,50
46,B,10,2,F,40
46,B,11,2,F,100
46,B,12,2,F,60
46,B,13,2,F,30
46,B,14,2,F,30
46,B,15,2,F,50
46,B,16,2,F,20
46,B,17,2,F,50
46,B,18,2,F,100
46,B,19,2,F,30
46,B,20,2,F,50
46,B,21,2,B,10
46,B,22,2,B,50
46,B,23,2,B,30
46,B,24,2,B,40
46,B,25,2,B,60
46,B,26,2,B,30
46,B,27,2,B,30
46,B,28,2,B,60
46,B,29,2,B,60
46,B,30,2,B,30
46,B,31,2,B,30
46,B,32,2,B,30
46,B,33,2,B,70
46,B,34,2,B,30
46,B,35,2,B,50
46,B,36,2,B,60
46,B,37,2,B,40
46,B,38,2,B,70
46,B,39,2,B,50
46,B,40,2,B,50
46,B,41,2,S,10
46,B,42,2,S,20
46,B,43,2,S,50
46,B,44,2,S,80
46,B,45,2,S,30
46,B,46,2,S,30
46,B,47,2,S,80
46,B,48,2,S,40
46,B,49,2,S,30
46,B,50,2,S,90
46,B,51,2,S,80
46,B,52,2,S,10
46,B,53,2,S,40
46,B,54,2,S,60
46,B,55,2,S,40
46,B,56,2,S,100
46,B,57,2,S,40
46,B,58,2,S,50
46,B,59,2,S,80
46,B,60,2,S,80
46,B,61,2,U,20
46,B,62,2,U,20
46,B,63,2,U,10
46,B,64,2,U,10
46,B,65,2,U,20
46,B,66,2,U,20
46,B,67,2,U,10
46,B,68,2,U,40
46,B,69,2,U,10
46,B,70,2,U,10
46,B,71,2,U,20
46,B,72,2,U,10
46,B,73,2,U,90
46,B,74,2,U,40
46,B,75,2,U,10
46,B,76,2,U,10
46,B,77,2,U,10
46,B,78,2,U,20
46,B,79,2,U,40
46,B,80,2,U,10
50,B,1,2,F,100
50,B,2,2,F,75
50,B,3,2,F,88
50,B,4,2,F,25
50,B,5,2,F,100
50,B,6,2,F,100
50,B,7,2,F,95
50,B,8,2,F,95
50,B,9,2,F,95
50,B,10,2,F,100
50,B,11,2,F,100
50,B,12,2,F,5
50,B,13,2,F,85
50,B,14,2,F,100
50,B,15,2,F,95
50,B,16,2,F,50
50,B,17,2,F,100
50,B,18,2,F,100
50,B,19,2,F,90
50,B,20,2,F,100
50,B,21,2,B,75
50,B,22,2,B,95
50,B,23,2,B,100
50,B,24,2,B,5
50,B,25,2,B,100
50,B,26,2,B,100
50,B,27,2,B,100
50,B,28,2,B,100
50,B,29,2,B,100
50,B,30,2,B,100
50,B,31,2,B,95
50,B,32,2,B,100
50,B,33,2,B,100
50,B,34,2,B,100
50,B,35,2,B,45
50,B,36,2,B,100
50,B,37,2,B,95
50,B,38,2,B,90
50,B,39,2,B,100
50,B,40,2,B,100
50,B,41,2,S,5
50,B,42,2,S,50
50,B,43,2,S,95
50,B,44,2,S,100
50,B,45,2,S,100
50,B,46,2,S,45
50,B,47,2,S,100
50,B,48,2,S,25
50,B,49,2,S,100
50,B,50,2,S,75
50,B,51,2,S,100
50,B,52,2,S,100
50,B,53,2,S,100
50,B,54,2,S,100
50,B,55,2,S,100
50,B,56,2,S,95
50,B,57,2,S,95
50,B,58,2,S,100
50,B,59,2,S,25
50,B,60,2,S,100
50,B,61,2,U,5
50,B,62,2,U,10
50,B,63,2,U,35
50,B,64,2,U,5
50,B,65,2,U,25
50,B,66,2,U,25
50,B,67,2,U,10
50,B,68,2,U,10
50,B,69,2,U,20
50,B,70,2,U,23
50,B,71,2,U,23
50,B,72,2,U,5
50,B,73,2,U,5
50,B,74,2,U,43
50,B,75,2,U,35
50,B,76,2,U,20
50,B,77,2,U,10
50,B,78,2,U,10
50,B,79,2,U,10
50,B,80,2,U,10
54,B,1,2,F,37
54,B,2,2,F,87
54,B,3,2,F,63
54,B,4,2,F,75
54,B,5,2,F,75
54,B,6,2,F,52
54,B,7,2,F,44
54,B,8,2,F,70
54,B,9,2,F,66
54,B,10,2,F,100
54,B,11,2,F,38
54,B,12,2,F,87
54,B,13,2,F,96
54,B,14,2,F,89
54,B,15,2,F,30
54,B,16,2,F,46
54,B,17,2,F,79
54,B,18,2,F,89
54,B,19,2,F,50
54,B,20,2,F,88
54,B,21,2,B,67
54,B,22,2,B,74
54,B,23,2,B,81
54,B,24,2,B,7
54,B,25,2,B,53
54,B,26,2,B,80
54,B,27,2,B,53
54,B,28,2,B,8
54,B,29,2,B,73
54,B,30,2,B,89
54,B,31,2,B,56
54,B,32,2,B,95
54,B,33,2,B,75
54,B,34,2,B,80
54,B,35,2,B,40
54,B,36,2,B,65
54,B,37,2,B,78
54,B,38,2,B,79
54,B,39,2,B,64
54,B,40,2,B,100
54,B,41,2,S,90
54,B,42,2,S,85
54,B,43,2,S,85
54,B,44,2,S,65
54,B,45,2,S,88
54,B,46,2,S,86
54,B,47,2,S,74
54,B,48,2,S,85
54,B,49,2,S,70
54,B,50,2,S,86
54,B,51,2,S,19
54,B,52,2,S,97
54,B,53,2,S,84
54,B,54,2,S,78
54,B,55,2,S,95
54,B,56,2,S,34
54,B,57,2,S,77
54,B,58,2,S,90
54,B,59,2,S,77
54,B,60,2,S,87
54,B,61,2,U,16
54,B,62,2,U,22
54,B,63,2,U,18
54,B,64,2,U,43
54,B,65,2,U,17
54,B,66,2,U,49
54,B,67,2,U,33
54,B,68,2,U,68
54,B,69,2,U,32
54,B,70,2,U,40
54,B,71,2,U,77
54,B,72,2,U,68
54,B,73,2,U,28
54,B,74,2,U,70
54,B,75,2,U,48
54,B,76,2,U,20
54,B,77,2,U,10
54,B,78,2,U,72
54,B,79,2,U,56
54,B,80,2,U,10
58,B,1,2,F,10
58,B,2,2,F,80
58,B,3,2,F,25
58,B,4,2,F,0
58,B,5,2,F,80
58,B,6,2,F,60
58,B,7,2,F,60
58,B,8,2,F,100
58,B,9,2,F,20
58,B,10,2,F,100
58,B,11,2,F,20
58,B,12,2,F,80
58,B,13,2,F,50
58,B,14,2,F,25
58,B,15,2,F,90
58,B,16,2,F,75
58,B,17,2,F,20
58,B,18,2,F,100
58,B,19,2,F,25
58,B,20,2,F,100
58,B,21,2,B,20
58,B,22,2,B,75
58,B,23,2,B,90
58,B,24,2,B,20
58,B,25,2,B,75
58,B,26,2,B,100
58,B,27,2,B,30
58,B,28,2,B,80
58,B,29,2,B,100
58,B,30,2,B,60
58,B,31,2,B,10
58,B,32,2,B,100
58,B,33,2,B,90
58,B,34,2,B,10
58,B,35,2,B,5
58,B,36,2,B,90
58,B,37,2,B,0
58,B,38,2,B,60
58,B,39,2,B,70
58,B,40,2,B,0
58,B,41,2,S,100
58,B,42,2,S,80
58,B,43,2,S,60
58,B,44,2,S,25
58,B,45,2,S,78
58,B,46,2,S,28
58,B,47,2,S,29
58,B,48,2,S,100
58,B,49,2,S,100
58,B,50,2,S,0
58,B,51,2,S,100
58,B,52,2,S,0
58,B,53,2,S,75
58,B,54,2,S,50
58,B,55,2,S,90
58,B,56,2,S,50
58,B,57,2,S,100
58,B,58,2,S,90
58,B,59,2,S,80
58,B,60,2,S,60
58,B,61,2,U,0
58,B,62,2,U,0
58,B,63,2,U,20
58,B,64,2,U,30
58,B,65,2,U,0
58,B,66,2,U,20
58,B,67,2,U,0
58,B,68,2,U,10
58,B,69,2,U,0
58,B,70,2,U,20
58,B,71,2,U,30
58,B,72,2,U,10
58,B,73,2,U,0
58,B,74,2,U,0
58,B,75,2,U,20
58,B,76,2,U,0
58,B,77,2,U,0
58,B,78,2,U,0
58,B,79,2,U,10
58,B,80,2,U,40
62,B,1,2,F,100
62,B,2,2,F,80
62,B,3,2,F,70
62,B,4,2,F,0
62,B,5,2,F,20
62,B,6,2,F,100
62,B,7,2,F,50
62,B,8,2,F,70
62,B,9,2,F,50
62,B,10,2,F,70
62,B,11,2,F,100
62,B,12,2,F,30
62,B,13,2,F,13
62,B,14,2,F,100
62,B,15,2,F,100
62,B,16,2,F,70
62,B,17,2,F,20
62,B,18,2,F,100
62,B,19,2,F,90
62,B,20,2,F,0
62,B,21,2,B,50
62,B,22,2,B,100
62,B,23,2,B,40
62,B,24,2,B,50
62,B,25,2,B,100
62,B,26,2,B,40
62,B,27,2,B,100
62,B,28,2,B,100
62,B,29,2,B,100
62,B,30,2,B,50
62,B,31,2,B,100
62,B,32,2,B,70
62,B,33,2,B,30
62,B,34,2,B,40
62,B,35,2,B,100
62,B,36,2,B,100
62,B,37,2,B,100
62,B,38,2,B,6
62,B,39,2,B,100
62,B,40,2,B,100
62,B,41,2,S,50
62,B,42,2,S,100
62,B,43,2,S,60
62,B,44,2,S,100
62,B,45,2,S,100
62,B,46,2,S,75
62,B,47,2,S,20
62,B,48,2,S,67
62,B,49,2,S,100
62,B,50,2,S,100
62,B,51,2,S,100
62,B,52,2,S,50
62,B,53,2,S,100
62,B,54,2,S,50
62,B,55,2,S,100
62,B,56,2,S,23
62,B,57,2,S,100
62,B,58,2,S,90
62,B,59,2,S,100
62,B,60,2,S,100
62,B,61,2,U,0
62,B,62,2,U,20
62,B,63,2,U,45
62,B,64,2,U,20
62,B,65,2,U,0
62,B,66,2,U,12
62,B,67,2,U,9
62,B,68,2,U,0
62,B,69,2,U,0
62,B,70,2,U,2
62,B,71,2,U,9
62,B,72,2,U,0
62,B,73,2,U,20
62,B,74,2,U,0
62,B,75,2,U,60
62,B,76,2,U,0
62,B,77,2,U,20
62,B,78,2,U,20
62,B,79,2,U,20
62,B,80,2,U,20
66,B,1,2,F,78
66,B,2,2,F,19
66,B,3,2,F,0
66,B,4,2,F,11
66,B,5,2,F,14
66,B,6,2,F,5
66,B,7,2,F,0
66,B,8,2,F,
66,B,9,2,F,67
66,B,10,2,F,21
66,B,11,2,F,0
66,B,12,2,F,6
66,B,13,2,F,
66,B,14,2,F,23
66,B,15,2,F,23
66,B,16,2,F,29
66,B,17,2,F,88
66,B,18,2,F,54
66,B,19,2,F,10
66,B,20,2,F,0
66,B,21,2,B,19
66,B,22,2,B,13
66,B,23,2,B,78
66,B,24,2,B,11
66,B,25,2,B,10
66,B,26,2,B,
66,B,27,2,B,45
66,B,28,2,B,0
66,B,29,2,B,34
66,B,30,2,B,45
66,B,31,2,B,10
66,B,32,2,B,10
66,B,33,2,B,12
66,B,34,2,B,0
66,B,35,2,B,17
66,B,36,2,B,11
66,B,37,2,B,23
66,B,38,2,B,11
66,B,39,2,B,10
66,B,40,2,B,10
66,B,41,2,S,13
66,B,42,2,S,13
66,B,43,2,S,11
