"subID","pure_cv_m","pure_oe_m","altrun_m","shuff_m","switch_altrun_m","switch_shuff_m","no_switch_altrun_m","no_switch_shuff_m"
"24",0.989583333333333,0.978947368421053,0.981981981981982,0.956896551724138,0.964912280701754,0.949152542372881,1,0.964912280701754
"25",0.989473684210526,0.978947368421053,0.974137931034483,0.974789915966387,0.982456140350877,0.950819672131147,0.966101694915254,1
"26",0.989473684210526,0.989473684210526,0.939130434782609,0.974137931034483,0.913793103448276,0.966101694915254,0.964912280701754,0.982456140350877
"27",0.936842105263158,0.821052631578947,0.863247863247863,0.991228070175439,0.813559322033898,0.983050847457627,0.913793103448276,1
"28",0.958333333333333,0.936842105263158,0.899159663865546,0.905982905982906,0.88135593220339,0.879310344827586,0.916666666666667,0.932203389830508
"29",0.989583333333333,0.978947368421053,0.973913043478261,0.946902654867257,0.948275862068966,0.913793103448276,1,0.981818181818182
"30",0.9375,0.947368421052632,0.956140350877193,0.983193277310924,0.947368421052632,0.966666666666667,0.964912280701754,1
"31",0.989583333333333,1,0.991304347826087,0.991304347826087,0.982758620689655,1,1,0.982456140350877
"33",0.538461538461538,0.602150537634409,0.425,0.55,0.406779661016949,0.60655737704918,0.442622950819672,0.491525423728814
"34",0.989583333333333,1,0.982608695652174,0.957627118644068,0.964912280701754,0.918032786885246,1,1
"35",0.947916666666667,0.926315789473684,0.956521739130435,0.991379310344828,0.929824561403509,0.983333333333333,0.982758620689655,1
"36",0.957894736842105,0.968253968253968,0.97008547008547,0.982905982905983,0.956140350877193,0.991596638655462,0.983333333333333,0.973913043478261
"37",0.9375,0.894736842105263,0.966101694915254,0.945454545454545,0.931034482758621,0.931034482758621,1,0.961538461538462
"38",0.96875,0.979166666666667,0.973451327433628,0.948717948717949,0.947368421052632,0.932203389830508,1,0.96551724137931
"39",0.895833333333333,0.875,0.940677966101695,0.939130434782609,0.896551724137931,0.932203389830508,0.983333333333333,0.946428571428571
"40",0.947368421052632,0.958333333333333,0.941176470588235,0.964912280701754,0.949152542372881,0.949152542372881,0.933333333333333,0.981818181818182
"41",0.895833333333333,0.884210526315789,0.68695652173913,0.764705882352941,0.586206896551724,0.754098360655738,0.789473684210526,0.775862068965517
"42",0.958333333333333,0,0.957627118644068,0.947368421052632,0.915254237288136,0.909090909090909,1,0.983050847457627
"43",0.979166666666667,0.957894736842105,0.957983193277311,0.948275862068966,0.982758620689655,0.933333333333333,0.934426229508197,0.964285714285714
"44",0.96875,0.958333333333333,0.885964912280702,0.932203389830508,0.913793103448276,0.932203389830508,0.857142857142857,0.932203389830508
"45",0.989583333333333,0.978947368421053,0.957264957264957,0.965811965811966,1,0.966666666666667,0.918032786885246,0.964912280701754
"46",0.957894736842105,0.936842105263158,0.899159663865546,0.914529914529915,0.830508474576271,0.898305084745763,0.966666666666667,0.931034482758621
"47",0.979166666666667,0.978947368421053,0.966101694915254,0.964912280701754,0.96551724137931,0.948275862068966,0.966666666666667,0.982142857142857
"48",0.0625,0.873684210526316,0.948717948717949,0.912280701754386,0.947368421052632,0.875,0.95,0.948275862068966
"49",0.967741935483871,0.957894736842105,0.681034482758621,0.717948717948718,0.684210526315789,0.711864406779661,0.677966101694915,0.724137931034483
"50",0.979166666666667,0.957894736842105,0.912280701754386,0.966101694915254,0.915254237288136,0.983333333333333,0.909090909090909,0.948275862068966
"51",0.979166666666667,1,1,0.974576271186441,1,0.950819672131147,1,1
"52",0.979166666666667,0.968421052631579,0.834782608695652,0.741666666666667,0.754385964912281,0.721311475409836,0.913793103448276,0.76271186440678
