"subject","condition","bin","mean"
57,"switch",3,804.25
57,"switch",4,918.3
57,"switch",5,1138.1
57,"switch",6,1613
58,"non-switch",1,687.105263157895
58,"non-switch",2,803.611111111111
58,"non-switch",3,901.894736842105
58,"non-switch",4,1148.83333333333
58,"non-switch",5,1595.26315789474
58,"non-switch",6,2491.5
58,"pure",1,456.5
58,"pure",2,532.875
58,"pure",3,604.625
58,"pure",4,708.5
58,"pure",5,973.6875
58,"pure",6,1829.875
58,"switch",1,797.263157894737
58,"switch",2,1102.88888888889
58,"switch",3,1389.5
58,"switch",4,1708.83333333333
58,"switch",5,2213.22222222222
58,"switch",6,3070.83333333333
59,"non-switch",1,782.8
59,"non-switch",2,949.55
59,"non-switch",3,1126.4
59,"non-switch",4,1292.45
59,"non-switch",5,1661.8
59,"non-switch",6,2431.94736842105
59,"pure",1,507
59,"pure",2,562.8125
59,"pure",3,606.4375
59,"pure",4,655.625
59,"pure",5,716.4375
59,"pure",6,1122.5625
59,"switch",1,938.75
59,"switch",2,1155.36842105263
59,"switch",3,1321.7
59,"switch",4,1555.05263157895
59,"switch",5,1835.6
59,"switch",6,2488.42105263158
60,"non-switch",1,659.4
60,"non-switch",2,786.35
60,"non-switch",3,878.4
60,"non-switch",4,1019.5
60,"non-switch",5,1216.7
60,"non-switch",6,1884.3
60,"pure",1,335.75
60,"pure",2,373.625
60,"pure",3,420.125
60,"pure",4,458.5625
60,"pure",5,492.875
60,"pure",6,645.375
60,"switch",1,671
60,"switch",2,831.85
60,"switch",3,1002.7
60,"switch",4,1185.05
60,"switch",5,1449.25
60,"switch",6,1980.15
61,"non-switch",1,695
61,"non-switch",2,780.1
61,"non-switch",3,865.1
61,"non-switch",4,997.9
61,"non-switch",5,1130.7
61,"non-switch",6,1545.84210526316
61,"pure",1,400.5625
61,"pure",2,452.0625
61,"pure",3,477.6875
61,"pure",4,510.1875
61,"pure",5,547.1875
61,"pure",6,733.4375
61,"switch",1,787.1
61,"switch",2,889.55
61,"switch",3,961.45
61,"switch",4,1071.45
61,"switch",5,1224.8
61,"switch",6,1558.85
62,"non-switch",1,872.9
62,"non-switch",2,1010.75
62,"non-switch",3,1129.68421052632
62,"non-switch",4,1298.9
62,"non-switch",5,1499.85
62,"non-switch",6,2028.73684210526
62,"pure",1,496.3125
62,"pure",2,534.5625
62,"pure",3,563.75
62,"pure",4,587.875
62,"pure",5,629.9375
62,"pure",6,953.5625
62,"switch",1,838.15
62,"switch",2,977.95
62,"switch",3,1123
62,"switch",4,1289.9
62,"switch",5,1490.6
62,"switch",6,2018.8
63,"non-switch",1,616.3
63,"non-switch",2,699.25
63,"non-switch",3,769.4
63,"non-switch",4,913.95
63,"non-switch",5,1219.45
63,"non-switch",6,2150.4
63,"pure",1,354.875
63,"pure",2,420.5625
63,"pure",3,457.1875
63,"pure",4,484.875
63,"pure",5,535.6875
63,"pure",6,906.3125
63,"switch",1,681.3
63,"switch",2,776.9
63,"switch",3,869.2
63,"switch",4,1009.3
63,"switch",5,1196.65
63,"switch",6,1943.05
64,"non-switch",1,763.15
64,"non-switch",2,866.894736842105
64,"non-switch",3,1016.1
64,"non-switch",4,1231.21052631579
64,"non-switch",5,1576.65
64,"non-switch",6,2422.36842105263
64,"pure",1,434.3125
64,"pure",2,467
64,"pure",3,503.625
64,"pure",4,540.75
64,"pure",5,615.625
64,"pure",6,1050.875
64,"switch",1,825.55
64,"switch",2,995.35
64,"switch",3,1134.3
64,"switch",4,1315.55
64,"switch",5,1574.4
64,"switch",6,2476.78947368421
65,"non-switch",1,735.15
65,"non-switch",2,881.05
65,"non-switch",3,1001.3
65,"non-switch",4,1272.15
65,"non-switch",5,1558.9
65,"non-switch",6,2459.26315789474
65,"pure",1,458.625
65,"pure",2,492.9375
65,"pure",3,522.5625
65,"pure",4,561.625
65,"pure",5,615.9375
65,"pure",6,963.875
65,"switch",1,871.95
65,"switch",2,1051.95
65,"switch",3,1173.05
65,"switch",4,1396.3
65,"switch",5,1657.95
65,"switch",6,2230.1
